	subjects	likelihood_no_hist	likelihood_1_lags	likelihood_2_lags	likelihood_3_lags	likelihood_4_lags	likelihood_5_lags	likelihood_6_lags	likelihood_7_lags	model_order
1	P2_	-34.4497305709	-34.4767538536	-34.6757347215	-34.5323700592	-34.6695616532	-34.8709221791	-34.8685688612	-34.4939834407	likelihood_no_hist
2	P3_	-44.838155145	-45.3615861149	-45.649917613	-45.8290372597	-45.8623124345	-46.3202932503	-46.6352108349	-47.0600794718	likelihood_no_hist
4	P5_	-35.3536595009	-35.614935291	-35.7269600275	-35.7545436795	-35.8134571594	-36.3250258444	-36.6908528574	-36.8721422761	likelihood_no_hist
5	P7_	-40.2154883697	-39.1850633003	-39.0081843523	-38.955233292	-38.8638544758	-39.1231413247	-39.5789525309	-39.6266716531	likelihood_4_lags
6	P8_	-48.3751939803	-48.8228479662	-49.1693276499	-49.3106710346	-49.4868856116	-49.7759137962	-49.8259432014	-49.9026827127	likelihood_no_hist
7	P9_	-42.5309572865	-41.9885055495	-42.1243614232	-42.4141890708	-42.5443432092	-42.5727547886	-42.7760054281	-42.9819303498	likelihood_1_lags
8	P10	-43.3324431294	-44.9283963943	-45.2803110968	-46.5269632392	-49.3154492079	-49.7695641445	-49.6583932596	-49.8921020426	likelihood_no_hist
9	P11	-44.8813314053	-45.2694416568	-45.6795727149	-45.9763533259	-46.2602158837	-46.7695239582	-46.8365136285	-47.4979213229	likelihood_no_hist
10	P12	-45.8035365304	-44.4397710462	-47.5183190708	-49.2406857369	-50.6220771204	-50.9606187188	-52.6719253848	-54.2210824998	likelihood_1_lags
11	P13	-35.425498558	-35.8536112947	-36.0396115206	-36.2090881647	-36.509098501	-36.7762044043	-36.8419498494	-37.1706754645	likelihood_no_hist
12	P14	-52.3059255652	-51.9310936078	-51.5677129919	-51.5312182877	-50.8995326273	-50.5377553059	-50.9630072407	-50.9505435017	likelihood_5_lags
13	P15	-40.1731268138	-40.5687363074	-40.5041509269	-40.1851504011	-40.3699153842	-40.5078210649	-40.7777143604	-41.3932105703	likelihood_no_hist
