	vfcPrimary	vfcEarly	vfcV3ab	vfcIPS01	vfcIPS23	JWG_aIPS	vfcLO	vfcTO	vfcVO	vfcPHC	JWG_IPS_PCeS	JWG_M1
vfcPrimary	1.0	0.11006686422721619	0.05356810339175397	0.02263544107037215	0.014701661613936478	0.008616608797640247	0.005673634910033201	0.005827241437435012	0.026790505495242947	0.00674734836778197	0.0051926713058235326	0.003559364986597915
vfcEarly	0.11006686422721619	1.0	0.0981106904749953	0.03777168120165448	0.0104161293057674	0.009393627325343481	0.04821856088447038	0.010152555947940897	0.0787621419854242	0.0196144039287925	0.008952625391201334	0.006997547828251623
vfcV3ab	0.05356810339175397	0.0981106904749953	1.0	0.12122014544288355	0.014867707090786822	-0.0031653304609290654	0.13845139333475273	0.006166265064386504	0.051317333290925485	0.017009148017833344	8.627273240732919e-05	-0.0007358235178314852
vfcIPS01	0.02263544107037215	0.03777168120165448	0.12122014544288355	1.0	0.12151817111967472	0.011682351332033781	0.10863026302927432	0.05062960291582988	0.05888492570103064	0.03224932162158415	-0.009046455455348148	-0.004109890628505519
vfcIPS23	0.014701661613936478	0.0104161293057674	0.014867707090786822	0.12151817111967472	1.0	0.043007942088903725	0.05882422213768765	0.0755507104243193	0.044321858842611375	0.03257664722497814	-0.012957728323286661	-0.013564407601132207
JWG_aIPS	0.008616608797640247	0.009393627325343481	-0.0031653304609290654	0.011682351332033781	0.043007942088903725	1.0	0.005579002068351391	0.03116702741901504	0.02573924700778685	0.04575833338646241	0.11163362244959568	0.09136123324429789
vfcLO	0.005673634910033201	0.04821856088447038	0.13845139333475273	0.10863026302927432	0.05882422213768765	0.005579002068351391	1.0	0.2152521500086867	0.035429228658384763	-0.017266161724602977	-0.0027012498964290367	-0.008723824555441097
vfcTO	0.005827241437435012	0.010152555947940897	0.006166265064386504	0.05062960291582988	0.0755507104243193	0.03116702741901504	0.2152521500086867	1.0	0.01280532658966459	-0.027550837933275972	0.0027788357033807776	-0.0077070647715237785
vfcVO	0.026790505495242947	0.0787621419854242	0.051317333290925485	0.05888492570103064	0.044321858842611375	0.02573924700778685	0.035429228658384763	0.01280532658966459	1.0	0.19067538747098148	0.010832044100338311	0.013274789478072119
vfcPHC	0.00674734836778197	0.0196144039287925	0.017009148017833344	0.03224932162158415	0.03257664722497814	0.04575833338646241	-0.017266161724602977	-0.027550837933275972	0.19067538747098148	1.0	0.04277599885355524	0.030064707965669537
JWG_IPS_PCeS	0.0051926713058235326	0.008952625391201334	8.627273240732919e-05	-0.009046455455348148	-0.012957728323286661	0.11163362244959568	-0.0027012498964290367	0.0027788357033807776	0.010832044100338311	0.04277599885355524	1.0	0.19501087559336278
JWG_M1	0.003559364986597915	0.006997547828251623	-0.0007358235178314852	-0.004109890628505519	-0.013564407601132207	0.09136123324429789	-0.008723824555441097	-0.0077070647715237785	0.013274789478072119	0.030064707965669537	0.19501087559336278	1.0
