	RT	subject	target	block	coherence	condition	response	session	idx
1883	0.267127990723	2	0	1	0.81	Alternating	0.0	1	2010103
1884	0.31765794754	2	1	1	0.27	Alternating	1.0	1	2010104
1885	0.4504537582399999	2	0	1	0.09	Alternating	0.0	1	2010105
1886	0.55092215538	2	1	1	0.0	Alternating	1.0	1	2010106
1887	0.534236907959	2	0	1	0.03	Alternating	0.0	1	2010107
1888	0.5004549026489999	2	1	1	0.03	Alternating	1.0	1	2010108
1889	0.234699010849	2	0	1	0.81	Alternating	0.0	1	2010109
1890	0.617120742798	2	1	1	0.09	Alternating	0.0	1	2010110
1891	0.517606973648	2	0	1	0.27	Alternating	0.0	1	2010111
1892	0.284258127213	2	1	1	0.27	Alternating	1.0	1	2010112
1893	0.4337959289549999	2	0	1	0.03	Alternating	0.0	1	2010113
1894	0.350480079651	2	0	1	0.27	Alternating	0.0	1	2010114
1895	0.617540121078	2	1	1	0.09	Alternating	0.0	1	2010115
1896	0.500452041626	2	0	1	0.09	Alternating	0.0	1	2010116
1897	0.450474023819	2	0	1	0.09	Alternating	1.0	1	2010117
1898	0.350897073746	2	1	1	0.27	Alternating	1.0	1	2010118
1899	0.167163848877	2	0	1	0.81	Alternating	0.0	1	2010119
1900	0.500463008881	2	0	1	0.03	Alternating	0.0	1	2010120
1901	0.3675906658169999	2	1	1	0.09	Alternating	1.0	1	2010121
1902	0.1842501163479999	2	0	1	0.27	Alternating	0.0	1	2010122
1903	0.317119121552	2	0	1	0.09	Alternating	0.0	1	2010123
1904	0.417130470276	2	1	1	0.09	Alternating	0.0	1	2010124
1905	0.200466871262	2	1	1	0.03	Alternating	0.0	1	2010125
1906	0.33381319046	2	0	1	0.81	Alternating	0.0	1	2010126
1907	0.467578887939	2	1	1	0.09	Alternating	1.0	1	2010127
1908	0.0342330932617	2	0	1	0.27	Alternating	0.0	1	2010128
1909	0.3675868511199999	2	1	1	0.0	Alternating	1.0	1	2010129
1910	0.234254837036	2	0	1	0.27	Alternating	0.0	1	2010130
1911	0.300454854965	2	1	1	0.03	Alternating	0.0	1	2010131
1912	0.517574071884	2	0	1	0.03	Alternating	0.0	1	2010132
1913	0.250461339951	2	1	1	0.09	Alternating	1.0	1	2010133
1916	0.233800888062	2	0	1	0.09	Alternating	0.0	1	2010136
1917	0.184713125229	2	1	1	0.09	Alternating	1.0	1	2010137
1918	0.367125988007	2	0	1	0.09	Alternating	1.0	1	2010138
1919	0.28379201889	2	1	1	0.81	Alternating	1.0	1	2010139
1920	0.234253168106	2	1	1	0.09	Alternating	1.0	1	2010140
1921	0.50045800209	2	0	1	0.27	Alternating	0.0	1	2010141
1922	0.200923204422	2	1	1	0.81	Alternating	1.0	1	2010142
1923	0.217594861984	2	0	1	0.27	Alternating	0.0	1	2010143
1924	0.300926446915	2	1	1	0.27	Alternating	1.0	1	2010144
1925	0.317112207413	2	0	1	0.09	Alternating	0.0	1	2010145
1926	0.500442028046	2	1	1	0.0	Alternating	0.0	1	2010146
1927	0.233788967133	2	0	1	0.09	Alternating	0.0	1	2010147
1928	0.200459241867	2	1	1	0.81	Alternating	1.0	1	2010148
1929	0.317594766617	2	0	1	0.09	Alternating	0.0	1	2010149
1930	0.517138957977	2	1	1	0.03	Alternating	1.0	1	2010150
1931	0.150937318802	2	0	1	0.27	Alternating	0.0	1	2010151
1932	0.50088095665	2	1	1	0.09	Alternating	1.0	1	2010152
1933	0.217588186264	2	0	1	0.81	Alternating	0.0	1	2010153
1934	0.317593097687	2	1	1	0.03	Alternating	0.0	1	2010154
1935	0.217129230499	2	1	1	0.81	Alternating	1.0	1	2010155
1936	0.2171671390529999	2	0	1	0.27	Alternating	0.0	1	2010156
1937	0.383812665939	2	1	1	0.0	Alternating	0.0	1	2010157
1938	0.1342611312869999	2	0	1	0.81	Alternating	0.0	1	2010158
1939	0.284242153168	2	0	1	0.0	Alternating	0.0	1	2010159
1940	0.434246063232	2	1	1	0.03	Alternating	1.0	1	2010160
1941	0.250924110413	2	0	1	0.81	Alternating	0.0	1	2010161
1942	0.233797073364	2	1	1	0.81	Alternating	1.0	1	2010162
1943	0.200469017029	2	1	1	0.81	Alternating	1.0	1	2010163
1944	0.417728185654	2	0	1	0.03	Alternating	0.0	1	2010164
1945	0.300455093384	2	1	1	0.0	Alternating	1.0	1	2010165
1946	0.2175610065459999	2	0	1	0.81	Alternating	0.0	1	2010166
1947	0.250923871994	2	1	1	0.81	Alternating	1.0	1	2010167
1948	0.550456047058	2	1	1	0.03	Alternating	0.0	1	2010168
1949	0.467593193054	2	0	1	0.09	Alternating	0.0	1	2010169
1950	0.334876060486	2	0	1	0.03	Alternating	1.0	1	2010170
1951	0.217587947845	2	1	1	0.27	Alternating	1.0	1	2010171
1952	0.0675990581512	2	0	1	0.27	Alternating	0.0	1	2010172
1953	0.450468063354	2	1	1	0.03	Alternating	0.0	1	2010173
1954	0.134361982346	2	1	1	0.27	Alternating	1.0	1	2010174
1955	0.184276103973	2	0	1	0.81	Alternating	0.0	1	2010175
1956	0.0338127613068	2	1	1	0.0	Alternating	1.0	1	2010176
1957	0.417139530182	2	0	1	0.09	Alternating	0.0	1	2010177
1958	0.450913190842	2	1	1	0.03	Alternating	0.0	1	2010178
1959	0.684217214584	2	1	1	0.03	Alternating	0.0	1	2010179
1960	0.6837940216060001	2	0	1	0.03	Alternating	1.0	1	2010180
1961	0.250999212265	2	1	1	0.81	Alternating	1.0	1	2010181
1962	0.1838099956509999	2	0	1	0.81	Alternating	0.0	1	2010182
1963	0.250931978226	2	1	1	0.27	Alternating	1.0	1	2010183
1964	0.533784389496	2	1	1	0.09	Alternating	0.0	1	2010184
1965	0.100481987	2	0	1	0.27	Alternating	0.0	1	2010185
1966	0.184262037277	2	1	1	0.27	Alternating	1.0	1	2010186
1967	0.16716003418	2	0	1	0.81	Alternating	0.0	1	2010187
1968	0.833780050278	2	1	1	0.03	Alternating	0.0	1	2010188
1969	0.417140007019	2	0	1	0.03	Alternating	0.0	1	2010189
1970	0.3675892353059999	2	1	1	0.03	Alternating	1.0	1	2010190
1971	0.2338693141939999	2	1	1	0.81	Alternating	1.0	1	2010191
1972	0.717108249664	2	0	1	0.0	Alternating	1.0	1	2010192
1973	0.234242916107	2	1	1	0.81	Alternating	1.0	1	2010193
1974	0.500480890274	2	1	1	0.03	Alternating	1.0	1	2010194
1975	0.401205062866	2	0	1	0.0	Alternating	1.0	1	2010195
1976	0.26758813858	2	0	1	0.27	Alternating	0.0	1	2010196
1977	0.6671071052549999	2	1	1	0.03	Alternating	0.0	1	2010197
1978	0.1342689991	2	0	1	0.27	Alternating	0.0	1	2010198
1979	0.334239959717	2	0	1	0.0	Alternating	1.0	1	2010199
1980	0.284008979797	2	1	2	0.09	Alternating	1.0	1	2010201
1981	0.283802270889	2	0	2	0.09	Alternating	0.0	1	2010202
1982	0.31713104248	2	1	2	0.81	Alternating	1.0	1	2010203
1983	0.767111063004	2	1	2	0.03	Alternating	0.0	1	2010204
1984	0.200926065445	2	1	2	0.27	Alternating	1.0	1	2010205
1985	0.201287984848	2	0	2	0.27	Alternating	0.0	1	2010206
1986	0.367587089539	2	0	2	0.09	Alternating	0.0	1	2010207
1987	0.350460767746	2	1	2	0.03	Alternating	1.0	1	2010208
1988	0.217149019241	2	0	2	0.09	Alternating	0.0	1	2010209
1989	0.200531959534	2	1	2	0.27	Alternating	1.0	1	2010210
1990	0.251155853271	2	1	2	0.03	Alternating	1.0	1	2010211
1991	0.350915908813	2	0	2	0.09	Alternating	0.0	1	2010212
1992	0.2014839649199999	2	1	2	0.27	Alternating	1.0	1	2010213
1993	0.284226894379	2	0	2	0.09	Alternating	0.0	1	2010214
1994	0.4838078021999999	2	1	2	0.03	Alternating	0.0	1	2010215
1995	0.550442218781	2	0	2	0.0	Alternating	0.0	1	2010216
1996	0.333801984787	2	0	2	0.03	Alternating	0.0	1	2010217
1997	0.167586088181	2	1	2	0.81	Alternating	1.0	1	2010218
1998	0.284308195114	2	1	2	0.81	Alternating	1.0	1	2010219
1999	0.250467061996	2	0	2	0.27	Alternating	0.0	1	2010220
2000	0.2171289920809999	2	1	2	0.81	Alternating	1.0	1	2010221
2001	0.267119884491	2	1	2	0.09	Alternating	1.0	1	2010222
2002	0.217984199524	2	0	2	0.27	Alternating	0.0	1	2010223
2003	0.0842640399933	2	1	2	0.81	Alternating	1.0	1	2010224
2004	0.400460720062	2	0	2	0.27	Alternating	0.0	1	2010225
2005	0.333805561066	2	0	2	0.03	Alternating	1.0	1	2010226
2006	0.5175819396970001	2	0	2	0.09	Alternating	1.0	1	2010227
2007	0.317134141922	2	1	2	0.0	Alternating	0.0	1	2010228
2008	0.467122077942	2	0	2	0.03	Alternating	0.0	1	2010229
