	subjects	likelihood_no_hist	likelihood_1_lags	likelihood_2_lags	likelihood_3_lags	likelihood_4_lags	likelihood_5_lags	likelihood_6_lags	likelihood_7_lags	model_order
1	P2_	-35.5613453086	-35.6862103902	-35.9690756048	-35.6976890165	-35.1584374549	-35.5935053189	-35.9783845819	-36.4890355675	likelihood_4_lags
2	P3_	-44.550190962	-43.4857162549	-43.1548827907	-43.9498739657	-44.2759003012	-44.2469791308	-44.6478776107	-45.0177456811	likelihood_2_lags
4	P5_	-37.7844386417	-37.1616148085	-37.1672067107	-37.5360443259	-37.3146104306	-37.3619713327	-37.5910177318	-37.3245722193	likelihood_1_lags
5	P7_	-39.3453387305	-37.3765881236	-37.716058531	-37.9782607057	-37.8066588206	-38.2001330696	-38.6447630836	-39.1380635224	likelihood_1_lags
6	P8_	-46.2920260625	-46.7659476122	-47.5428002259	-47.661905183	-47.7185352449	-48.9311680878	-49.4382830423	-49.4940996871	likelihood_no_hist
7	P9_	-40.4701291023	-40.8184433748	-40.6002353317	-40.5213265136	-40.6794367772	-40.7645236781	-41.2580572547	-41.411421297	likelihood_no_hist
8	P10	-46.6676995322	-36.8368647517	-36.085207808	-36.9328317003	-37.3105645429	-38.0823760782	-38.701052165	-38.6118444809	likelihood_2_lags
9	P11	-48.0240037359	-47.7566771541	-47.5968039928	-48.5205285824	-49.0809893868	-48.8406292406	-48.9745192218	-49.3633815253	likelihood_2_lags
10	P12	-41.214392819000004	-41.5929077272	-41.7735596456	-42.3764014348	-44.339739101400006	-44.39325401399999	-43.6817140561	-45.0792409864	likelihood_no_hist
11	P13	-36.2665163192	-35.1705657978	-35.1596160359	-35.2486964832	-34.9413346447	-35.4804489109	-35.0945407007	-35.3951814948	likelihood_4_lags
12	P14	-42.8255111655	-42.1502461853	-40.9661540221	-40.6481396377	-40.4510845277	-40.5457861187	-40.6733239303	-40.9034572094	likelihood_4_lags
13	P15	-35.8573541917	-34.1404629812	-34.2225376021	-34.0371679006	-34.4810207974	-34.9714707125	-34.8011091026	-34.7591500499	likelihood_3_lags
14	P16	-42.4719662473	-41.1810640224	-41.5684491733	-41.573548895	-41.9383756657	-42.0034830049	-42.2401953585	-42.671008307	likelihood_1_lags
15	P17	-43.3323947105	-43.5777573742	-43.2759767678	-42.6211588559	-42.7464570397	-43.080841085	-43.3181555175	-43.9311430204	likelihood_3_lags
16	P18	-38.3213455527	-37.992170317	-37.6930403744	-37.7564746066	-38.3487087902	-38.4607198623	-38.5861069825	-39.0324871753	likelihood_2_lags
17	P19	-32.978885282	-32.1054660624	-31.9262140001	-31.9382571968	-31.6440651189	-31.6195031631	-31.5129700885	-31.3637475536	likelihood_7_lags
18	P20	-45.461485395	-45.3201152925	-45.2490040961	-45.0534393397	-45.5602767234	-45.9398256173	-45.9740405953	-46.0055554071	likelihood_3_lags
19	P21	-47.3813322418	-47.7695491768	-48.1996319101	-47.6473932322	-47.7190420192	-47.6740781472	-47.8618132743	-47.9964344263	likelihood_no_hist
20	P22	-35.5143904573	-34.7532568438	-34.8923454205	-34.7308948833	-34.7483676686	-34.9208407329	-35.1421505571	-35.4799438525	likelihood_3_lags
21	P23	-36.2024143321	-34.7978112842	-34.9331642703	-34.9034972355	-35.3758934405	-36.0903608263	-36.2972014289	-36.3281318186	likelihood_1_lags
