RT	subject	target	block	coherence	condition	response	session	idx
0.300688505173	1	0	1	0.81	Neutral	0.0	1	1010101
0.233891963959	1	1	1	0.03	Neutral	1.0	1	1010102
0.36712193489100003	1	1	1	0.03	Neutral	0.0	1	1010103
0.23378801345800002	1	1	1	0.27	Neutral	1.0	1	1010104
0.23424601554900001	1	0	1	0.09	Neutral	0.0	1	1010105
0.28380656242400004	1	0	1	0.03	Neutral	0.0	1	1010106
0.100463867188	1	0	1	0.27	Neutral	0.0	1	1010107
0.250915050507	1	0	1	0.27	Neutral	0.0	1	1010108
0.317143917084	1	0	1	0.0	Neutral	1.0	1	1010109
0.233842849731	1	1	1	0.81	Neutral	1.0	1	1010110
0.817127943039	1	1	1	0.03	Neutral	1.0	1	1010111
0.317131280899	1	1	1	0.27	Neutral	1.0	1	1010112
0.833779096603	1	1	1	0.03	Neutral	1.0	1	1010113
0.167197942734	1	1	1	0.03	Neutral	1.0	1	1010114
0.283799648285	1	1	1	0.03	Neutral	1.0	1	1010115
0.233818054199	1	1	1	0.09	Neutral	1.0	1	1010116
0.150465250015	1	1	1	0.03	Neutral	1.0	1	1010117
0.167136192322	1	1	1	0.27	Neutral	1.0	1	1010118
0.0504922866821	1	1	1	0.27	Neutral	1.0	1	1010119
0.350461006165	1	1	1	0.09	Neutral	0.0	1	1010120
0.133825063705	1	0	1	0.0	Neutral	1.0	1	1010121
0.000938892364502	1	0	1	0.81	Neutral	0.0	1	1010122
0.250928163528	1	0	1	0.81	Neutral	0.0	1	1010123
0.11713290214500001	1	1	1	0.27	Neutral	1.0	1	1010124
0.267127037048	1	1	1	0.09	Neutral	0.0	1	1010125
0.267589092255	1	1	1	0.09	Neutral	1.0	1	1010126
0.18424487114	1	1	1	0.81	Neutral	1.0	1	1010127
1.1004528999299998	1	0	1	0.09	Neutral	0.0	1	1010128
0.350468158722	1	0	1	0.81	Neutral	0.0	1	1010129
0.317663908005	1	1	1	0.81	Neutral	1.0	1	1010130
0.167601823807	1	1	1	0.81	Neutral	1.0	1	1010131
0.283793926239	1	1	1	0.03	Neutral	0.0	1	1010132
0.317129850388	1	1	1	0.09	Neutral	1.0	1	1010133
0.233822822571	1	0	1	0.27	Neutral	0.0	1	1010134
0.317143201828	1	1	1	0.81	Neutral	1.0	1	1010135
0.250908851624	1	1	1	0.03	Neutral	0.0	1	1010136
0.367125272751	1	0	1	0.09	Neutral	0.0	1	1010137
0.7175929546359999	1	0	1	0.09	Neutral	1.0	1	1010138
0.31759881973299997	1	0	1	0.09	Neutral	1.0	1	1010139
0.31716299056999997	1	0	1	0.09	Neutral	0.0	1	1010140
0.30047225952100004	1	0	1	0.09	Neutral	0.0	1	1010141
0.367129564285	1	1	1	0.03	Neutral	0.0	1	1010142
0.217599868774	1	1	1	0.27	Neutral	1.0	1	1010143
0.183792829514	1	1	1	0.09	Neutral	1.0	1	1010144
0.183807611465	1	0	1	0.0	Neutral	0.0	1	1010145
0.634245634079	1	0	1	0.0	Neutral	1.0	1	1010146
0.417146921158	1	0	1	0.03	Neutral	1.0	1	1010147
0.0838041305542	1	1	1	0.09	Neutral	1.0	1	1010148
0.21716260910000001	1	1	1	0.81	Neutral	1.0	1	1010149
0.117644071579	1	0	1	0.27	Neutral	0.0	1	1010150
0.16713809967	1	1	1	0.27	Neutral	1.0	1	1010151
0.38379907608	1	1	1	0.03	Neutral	0.0	1	1010152
0.31712889671300004	1	1	1	0.81	Neutral	1.0	1	1010153
0.417126178741	1	1	1	0.27	Neutral	1.0	1	1010154
0.36714935302699997	1	1	1	0.03	Neutral	1.0	1	1010155
0.217120885849	1	0	1	0.81	Neutral	0.0	1	1010156
0.184247493744	1	0	1	0.27	Neutral	0.0	1	1010157
0.050467014312699995	1	1	1	0.0	Neutral	1.0	1	1010158
0.618026733398	1	0	1	0.0	Neutral	0.0	1	1010159
0.317131996155	1	0	1	0.03	Neutral	0.0	1	1010160
0.034255027771	1	0	1	0.81	Neutral	0.0	1	1010161
0.183897256851	1	1	1	0.0	Neutral	1.0	1	1010162
0.100495100021	1	1	1	0.27	Neutral	1.0	1	1010163
0.4171397686	1	0	1	0.03	Neutral	0.0	1	1010164
0.0337958335876	1	0	1	0.09	Neutral	1.0	1	1010165
0.300455093384	1	0	1	0.09	Neutral	0.0	1	1010166
0.050489902496300004	1	0	1	0.27	Neutral	0.0	1	1010167
0.11761450767500001	1	0	1	0.81	Neutral	0.0	1	1010168
0.234289169312	1	0	1	0.09	Neutral	0.0	1	1010169
0.10055494308499999	1	1	1	0.0	Neutral	0.0	1	1010170
0.250450134277	1	0	1	0.27	Neutral	0.0	1	1010171
0.167589902878	1	0	1	0.81	Neutral	0.0	1	1010172
0.26713681221	1	0	1	0.03	Neutral	1.0	1	1010173
0.28380441665600004	1	1	1	0.27	Neutral	1.0	1	1010174
1.08378696442	1	0	1	0.03	Neutral	1.0	1	1010175
0.23424887657200003	1	0	1	0.81	Neutral	0.0	1	1010176
0.35045599937399996	1	1	1	0.0	Neutral	0.0	1	1010177
0.150949954987	1	0	1	0.27	Neutral	0.0	1	1010178
0.150459051132	1	1	1	0.09	Neutral	1.0	1	1010179
0.100472927094	1	1	1	0.81	Neutral	1.0	1	1010180
0.184262990952	1	0	1	0.09	Neutral	0.0	1	1010181
0.5337858200069999	1	0	1	0.03	Neutral	0.0	1	1010182
